wikidata_id,name,category,coordinates,image_url,country,wikipedia_url
Q9689,Berlin Schönefeld Airport,airports,Point(13.520556 52.378611),http://commons.wikimedia.org/wiki/Special:FilePath/Schoenefeld%20Landsat.jpg,Germany,https://en.wikipedia.org/wiki/Berlin_Sch%C3%B6nefeld_Airport
Q9694,Amsterdam Schiphol Airport,airports,Point(4.764169444 52.3081),http://commons.wikimedia.org/wiki/Special:FilePath/Ams-above-2007.jpg,Netherlands,https://en.wikipedia.org/wiki/Amsterdam_Airport_Schiphol
Q14295,Seattle–Tacoma International Airport,airports,Point(-122.309444 47.448889),http://commons.wikimedia.org/wiki/Special:FilePath/Seattle%E2%80%93Tacoma%20International%20Airport%2C%20Washington%2C%20October%207%2C%202023.jpg,United States,https://en.wikipedia.org/wiki/Seattle%E2%80%93Tacoma_International_Airport
Q14302,Adelaide Airport,airports,Point(138.530555555 -34.945),http://commons.wikimedia.org/wiki/Special:FilePath/AdelaideAirportSkyline.jpg,Australia,https://en.wikipedia.org/wiki/Adelaide_Airport
Q14300,Canberra Airport,airports,Point(149.195 -35.306944444),http://commons.wikimedia.org/wiki/Special:FilePath/Canberra%20Airport%20overview%20Gilbert.jpg,Australia,https://en.wikipedia.org/wiki/Canberra_Airport
Q14300,Canberra Airport,airports,Point(149.195 -35.306944444),http://commons.wikimedia.org/wiki/Special:FilePath/Canberra%20Airport%20terminal%20Gilbert.jpg,Australia,https://en.wikipedia.org/wiki/Canberra_Airport
Q15114,Zurich Airport,airports,Point(8.548055555 47.458055555),http://commons.wikimedia.org/wiki/Special:FilePath/Zurich%20airport%20img%203324.jpg,Switzerland,https://en.wikipedia.org/wiki/Zurich_Airport
Q15498,Hobart Airport,airports,Point(147.510278 -42.836112),http://commons.wikimedia.org/wiki/Special:FilePath/Hobart%20Airportview.jpg,Australia,https://en.wikipedia.org/wiki/Hobart_Airport
Q15498,Hobart Airport,airports,Point(147.510278 -42.836112),http://commons.wikimedia.org/wiki/Special:FilePath/HobartAirportTerminal.jpg,Australia,https://en.wikipedia.org/wiki/Hobart_Airport
Q15564,Hargeisa International Airport,airports,Point(44.088758333 9.518166666),http://commons.wikimedia.org/wiki/Special:FilePath/Somaliland%20and%20Hargeisa%20%2829482568932%29.jpg,Somalia,https://en.wikipedia.org/wiki/Hargeisa_Airport
Q15564,Hargeisa International Airport,airports,Point(44.088758333 9.518166666),http://commons.wikimedia.org/wiki/Special:FilePath/Somaliland%20and%20Hargeisa%20%2829482568932%29.jpg,Somaliland,https://en.wikipedia.org/wiki/Hargeisa_Airport
Q16810,Kaohsiung International Airport,airports,Point(120.35 22.576944444),http://commons.wikimedia.org/wiki/Special:FilePath/%E9%AB%98%E9%9B%84%E5%9C%8B%E9%9A%9B%E6%A9%9F%E5%A0%B4.JPG,Taiwan,https://en.wikipedia.org/wiki/Kaohsiung_International_Airport
Q16810,Kaohsiung International Airport,airports,Point(120.35 22.576944444),http://commons.wikimedia.org/wiki/Special:FilePath/KHH%2002.jpg,Taiwan,https://en.wikipedia.org/wiki/Kaohsiung_International_Airport
Q17480,Antwerp International Airport,airports,Point(4.460277777 51.189444444),http://commons.wikimedia.org/wiki/Special:FilePath/Antwerp%20Airport%20%28Deurne%29.jpg,Belgium,https://en.wikipedia.org/wiki/Antwerp_International_Airport
Q17480,Antwerp International Airport,airports,Point(4.460277777 51.189444444),http://commons.wikimedia.org/wiki/Special:FilePath/Luchthavengebouw%20Antwerpen-Deurne.jpg,Belgium,https://en.wikipedia.org/wiki/Antwerp_International_Airport
Q17581,Sydney Airport,airports,Point(151.1761111 -33.948333333),http://commons.wikimedia.org/wiki/Special:FilePath/Sydney%20airport%20-%20International%20terminal.jpg,Australia,https://en.wikipedia.org/wiki/Sydney_Airport
Q17609,Darwin International Airport,airports,Point(130.876666666 -12.414722222),http://commons.wikimedia.org/wiki/Special:FilePath/Aircraft%20Waiting%20to%20Cross%20Runway%201129%20at%20Darwin%20Airport%20in%20March%202012.jpg,Australia,https://en.wikipedia.org/wiki/Darwin_International_Airport
Q17609,Darwin International Airport,airports,Point(130.876666666 -12.414722222),http://commons.wikimedia.org/wiki/Special:FilePath/Darwin%20Airport%20Apron%20and%20Civil%20Terminal%20in%20March%202012.jpg,Australia,https://en.wikipedia.org/wiki/Darwin_International_Airport
Q17609,Darwin International Airport,airports,Point(130.876666666 -12.414722222),http://commons.wikimedia.org/wiki/Special:FilePath/Darwin%20International%20Airport%20terminal.jpg,Australia,https://en.wikipedia.org/wiki/Darwin_International_Airport
Q17609,Darwin International Airport,airports,Point(130.876666666 -12.414722222),http://commons.wikimedia.org/wiki/Special:FilePath/New%20Darwin%20Airport%20Terminal%20opening%20in%20December%201991.jpg,Australia,https://en.wikipedia.org/wiki/Darwin_International_Airport
Q17609,Darwin International Airport,airports,Point(130.876666666 -12.414722222),http://commons.wikimedia.org/wiki/Special:FilePath/RAAF%20Darwin%20control%20tower.jpg,Australia,https://en.wikipedia.org/wiki/Darwin_International_Airport
Q17704,Hong Kong International Airport,airports,Point(113.914444 22.308889),http://commons.wikimedia.org/wiki/Special:FilePath/Hong%20Kong%20International%20Airport%20restricted%20area%2001-12-2024%289%29.jpg,People's Republic of China,https://en.wikipedia.org/wiki/Hong_Kong_International_Airport
Q17896,Avalon Airport,airports,Point(144.469444 -38.039444),http://commons.wikimedia.org/wiki/Special:FilePath/Control%20tower%20and%20offices%20at%20avalon%20airport.jpg,Australia,https://en.wikipedia.org/wiki/Avalon_Airport
Q19101,Roma Fiumicino Airport,airports,Point(12.2499 41.7956),http://commons.wikimedia.org/wiki/Special:FilePath/Rom%20Fiumicino%202011-by-RaBoe-02.jpg,Italy,https://en.wikipedia.org/wiki/Rome_Fiumicino_Airport
Q25060,Oued Irara–Krim Belkacem Airport,airports,Point(6.140556 31.673889),http://commons.wikimedia.org/wiki/Special:FilePath/HassiMessaoudIntArrivals.jpg,Algeria,https://en.wikipedia.org/wiki/Oued_Irara%E2%80%93Krim_Belkacem_Airport
Q25226,Cam Ranh International Airport,airports,Point(109.219444444 11.998055555),http://commons.wikimedia.org/wiki/Special:FilePath/Cam%20Ranh%20International%20Airport%20Terminal%202.jpg,Vietnam,https://en.wikipedia.org/wiki/Cam_Ranh_International_Airport
Q27048,Brest Airport,airports,Point(23.898055555 52.108333333),http://commons.wikimedia.org/wiki/Special:FilePath/Brest%20Airport.jpg,Belarus,https://en.wikipedia.org/wiki/Brest_Airport
Q27049,Hrodna Airport,airports,Point(24.053888888 53.601944444),http://commons.wikimedia.org/wiki/Special:FilePath/Grodno%20airport.jpg,Belarus,https://en.wikipedia.org/wiki/Grodno_Airport
Q27315,Shymkent International Airport,airports,Point(69.476111111 42.365),http://commons.wikimedia.org/wiki/Special:FilePath/Shymkent%20International%20Airport%2003.jpg,Kazakhstan,https://en.wikipedia.org/wiki/%C5%9Eymkent_International_Airport
Q27596,Kisangani Bangoka International Airport,airports,Point(25.338056 0.481667),http://commons.wikimedia.org/wiki/Special:FilePath/Nouveau%20parking%20de%20l%27a%C3%A9roport.jpg,Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Kisangani_Bangoka_International_Airport
