wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude,description
Q385406,São Paulo-Guarulhos International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/ViewfromAir-SaoPaulo.jpg,Brazil,https://en.wikipedia.org/wiki/S%C3%A3o_Paulo/Guarulhos_International_Airport,-23.435555555,-46.473055555,international airport serving São Paulo
Q587801,Marechal Cunha Machado International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Slz.jpg,Brazil,https://en.wikipedia.org/wiki/Marechal_Cunha_Machado_International_Airport,-2.586944444,-44.236111111,airport in Brazil
Q926029,Deputado Luís Eduardo Magalhães International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Fachada%20Aeroporto%20de%20Salvador2.jpg,Brazil,https://en.wikipedia.org/wiki/Salvador_Bahia_Airport,-12.90861,-38.3225,airport
Q180464,Afonso Pena International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Afonsopenaairport.jpg,Brazil,https://en.wikipedia.org/wiki/Afonso_Pena_International_Airport,-25.531666666,-49.176111111,airport in Brazil
Q387704,Recife/Guararapes–Gilberto Freyre International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Recife%20airport.jpg,Brazil,https://en.wikipedia.org/wiki/Recife/Guararapes_International_Airport,-8.126388888,-34.922777777,airport
Q539298,Florianópolis International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/HercilioLuz%20Airport%20Florianopolis.jpg,Brazil,https://en.wikipedia.org/wiki/Herc%C3%ADlio_Luz_International_Airport,-27.670277777,-48.5525,airport
Q597669,Boa Vista International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Entrada%20do%20Aeroporto%20Internacional%20de%20Boa%20Vista%20-%20Atlas%20Brasil%20Cantanhede%2C%20Boa%20Vista%20RR.jpg,Brazil,https://en.wikipedia.org/wiki/Boa_Vista_International_Airport,2.84139,-60.69222,airport
Q607211,Campo Grande International Airport,airports,http://commons.wikimedia.org/wiki/Special:FilePath/Aeroporto%20Internacional%20de%20Campo%20Grande%20MS%2C%2020-07-2025.jpg,Brazil,https://en.wikipedia.org/wiki/Campo_Grande_International_Airport,-20.469444444,-54.670277777,international airport
Q387866,Lagoa do Peri,lakes,http://commons.wikimedia.org/wiki/Special:FilePath/HDR%20Lagoa%20do%20Peri.jpg,Brazil,,-27.7314,-48.5222,lake in Brazil
Q37879,Paulo Afonso Falls,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/Cachoeira%20de%20Paulo%20Afonso%20BA.jpg,Brazil,https://en.wikipedia.org/wiki/Paulo_Afonso_Falls,-9.389088888,-38.195769444,"waterfalls on the São Francisco River in Alagoas and Bahia, Brazil"
Q3470256,Q3470256,waterfalls,http://commons.wikimedia.org/wiki/Special:FilePath/Mocona5.jpg,Brazil,,-27.1535,-53.8894,
Q879629,Ilha Grande National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Lagoa%20Saraiva%20localizada%20no%20Parque%20Nacional%20de%20Ilha%20Grande.jpg,Brazil,https://en.wikipedia.org/wiki/Ilha_Grande_National_Park,-23.4,-53.81666667,national park of Brazil
Q174228,Caparaó National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Facedecristo.JPG,Brazil,https://en.wikipedia.org/wiki/Capara%C3%B3_National_Park,-20.45017583,-41.7837525,national park of Brazil
Q575822,Tumucumaque National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Oyapock%20maripa%20falls%20tree.jpg,Brazil,https://en.wikipedia.org/wiki/Tumucumaque_Mountains_National_Park,1.83333,-54.0,national park of Brazil
Q578202,Monte Roraima National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Mt%20Kukenan%20from%20Mt%20Roraima%20in%20Guyana%20HighLand%20001.JPG,Brazil,https://en.wikipedia.org/wiki/Monte_Roraima_National_Park,5.20194,-60.7369,national park of Brazil
Q617635,Aparados da Serra National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Itaimb%C3%A9zinho%20Canyon%202006.jpg,Brazil,https://en.wikipedia.org/wiki/Aparados_da_Serra_National_Park,-29.19173,-50.09766,national park of Brazil
Q625172,Serra do Itajaí National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/SpitzkopfPNSI2.jpg,Brazil,https://en.wikipedia.org/wiki/Serra_do_Itaja%C3%AD_National_Park,-27.2,-49.35,national park of Brazil
Q631981,Ubajara National Park,national_parks,http://commons.wikimedia.org/wiki/Special:FilePath/Viggo%2001.JPG,Brazil,https://en.wikipedia.org/wiki/Ubajara_National_Park,-3.766282,-40.89797967,national park of Brazil
