wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude
Q130478,The Center,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/HK%20Peak%20The%20Center%20West%20Kln%20COSCO%20Tower.JPG,People's Republic of China,https://en.wikipedia.org/wiki/The_Center,22.284722222,114.154444444
Q133599,500 Fifth Avenue,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/500%20Fifth%20Avenue%20Panorama.jpg,United States,https://en.wikipedia.org/wiki/500_Fifth_Avenue,40.7538,-73.9813
Q134124,Ocean Heights,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Ocean%20Heights%20Dubai%20Marina.jpg,United Arab Emirates,https://en.wikipedia.org/wiki/Ocean_Heights_(Dubai),25.090914,55.149989
Q135672,Essen City Hall,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Townhall-Essen-2012.jpg,Germany,https://en.wikipedia.org/wiki/Essen_City_Hall,51.458055555,7.016111111
Q138755,40 Bank Street,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/40%20Bank%20Street%20Heron%20Quay%20London.jpg,United Kingdom,https://en.wikipedia.org/wiki/40_Bank_Street,51.5025,-0.019444444
Q138752,25 Bank Street,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/25%20Bank%20Street%202012.JPG,United Kingdom,https://en.wikipedia.org/wiki/25_Bank_Street,51.502972222,-0.021027777
Q138760,10 Upper Bank Street,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/10%20Upper%20Bank%20Street%20London.jpg,United Kingdom,https://en.wikipedia.org/wiki/10_Upper_Bank_Street,51.502777777,-0.016388888
Q138768,One Churchill Place,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Canary%20Wharf%20-%20geograph.org.uk%20-%2023058.jpg,United Kingdom,https://en.wikipedia.org/wiki/One_Churchill_Place,51.505277777,-0.014444444
Q138778,10 Holloway Circus,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Holloway%20Circus%20Tower%20Birmingham%20%28cropped%29.JPG,United Kingdom,https://en.wikipedia.org/wiki/10_Holloway_Circus,52.4754,-1.90016
Q139815,Grand International Mansion,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Pinnacle%20%28Guangzhou%2C%20China%29%20indexxrus.JPG,People's Republic of China,https://en.wikipedia.org/wiki/The_Pinnacle_(Guangzhou),23.1278,113.318
Q143235,Wuhan Greenland Center,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Wuhan%20Greenland%20Center.jpg,People's Republic of China,https://en.wikipedia.org/wiki/Wuhan_Greenland_Center,30.585941666,114.317475
Q151765,Commerzbank Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Commerzbank-Hochhaus%202010-09-06%2001.jpg,Germany,https://en.wikipedia.org/wiki/Commerzbank_Tower,50.11116,8.67437
Q152129,Carew Tower,skyscrapers,http://commons.wikimedia.org/wiki/Special:FilePath/Carew%20Tower%2C%20Cincinnati%2C%20Ohio.jpg,United States,https://en.wikipedia.org/wiki/Carew_Tower,39.10083,-84.5132
