wikidata_id,name,category,image_url,country,wikipedia_url,latitude,longitude
Q2474513,"Achter de Dom 7, Utrecht",castles,http://commons.wikimedia.org/wiki/Special:FilePath/Achter%20de%20Dom%207.JPG,Netherlands,,52.090342,5.123225
Q2497734,"Oudegracht 53, Utrecht",castles,http://commons.wikimedia.org/wiki/Special:FilePath/Rijksmonument36493.JPG,Netherlands,,52.094669,5.116322
Q2588118,Chisti Lumbrein,castles,http://commons.wikimedia.org/wiki/Special:FilePath/Lumbrein%20Chisti7.jpg,Switzerland,,46.68303,9.13537
Q2885477,"Torre-Palacio del Conde de Orgaz, Fontecha",castles,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20Orgaz%2009.jpg,Spain,,42.744828271,-3.025302382
Q2948482,Murga Tower,castles,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20de%20los%20Murga%2008.jpg,Spain,,43.073659249,-3.016599377
Q3278566,Galartza dorrea,castles,http://commons.wikimedia.org/wiki/Special:FilePath/Galartza%2024118%201995%201038970.jpg,Spain,,43.0426,-2.5175
Q3661042,Q3661042,castles,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20di%20Nadro%20-%20Ceto%20%28Foto%20Luca%20Giarelli%29.jpg,Italy,,46.01138889,10.35194444
Q3661355,Q3661355,castles,http://commons.wikimedia.org/wiki/Special:FilePath/Pisa%2C%20Casa%20torre%20di%20via%20Ulisse%20Dini.jpg,Italy,,43.71844,10.40153
Q3752910,Desmond Castle,castles,http://commons.wikimedia.org/wiki/Special:FilePath/Desmond%20Castle.jpg,Ireland,https://en.wikipedia.org/wiki/Desmond_Castle_(Kinsale),51.7075,-8.530555555
Q3995201,Torre Lanfreducci,castles,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20Lanfreducci%2001.JPG,Italy,,43.71681,10.398704
Q3995370,Torre dei Ghiberti,castles,http://commons.wikimedia.org/wiki/Special:FilePath/Via%20del%20Corso%2046r%20angolo%20via%20Santa%20Elisabetta%2C%20Torre%20dei%20Ricci%20Donati%2C%2000%2C1.jpg,Italy,,43.77153889,11.25626667
Q3995404,Torre del Campano,castles,http://commons.wikimedia.org/wiki/Special:FilePath/Pisa%2C%20Torre%20del%20Campano%2C%2001.jpg,Italy,,43.717574,10.400507
Q3995423,Torre del Lungarno Pacinotti,castles,http://commons.wikimedia.org/wiki/Special:FilePath/Torre%20del%20lungarno%20pacinotti%20%28torre%20dell%27hotel%20vittoria%29.JPG,Italy,,43.716692,10.401102
Q3995642,Tower of Street Cristoforo Colombo,castles,http://commons.wikimedia.org/wiki/Special:FilePath/Casa-torre%20-%20Castiglione%20della%20Pescaia.jpg,Italy,,42.762680246,10.88172918
Q4185805,Athenry Castle,castles,http://commons.wikimedia.org/wiki/Special:FilePath/Athenry%20Castle.jpg,Ireland,https://en.wikipedia.org/wiki/Athenry_Castle,53.300151,-8.744343
Q211662,Pontiac Silverdome,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Silverdome%202.jpg,United States,https://en.wikipedia.org/wiki/Pontiac_Silverdome,42.645833333,-83.255
Q215295,Stade de Genève,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Stade%20de%20Gen%C3%A8ve%20during%20a%20UEFA%20Europa%20Conference%20League%20match%20between%20Servette%20and%20Viktoria%20Pilsen.%20%282023%29.jpg,Switzerland,https://en.wikipedia.org/wiki/Stade_de_Gen%C3%A8ve,46.177778,6.1275
Q215399,Arena Lviv,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Arena%20Lviv%205.jpg,Ukraine,https://en.wikipedia.org/wiki/Arena_Lviv,49.775278055,24.027778055
Q216167,Wörthersee Stadion,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Stadium%20klagenfurt%20aerial%20view.jpg,Austria,https://en.wikipedia.org/wiki/W%C3%B6rthersee_Stadion,46.608847,14.278281
Q225108,Meadowlands Sports Complex,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Meadowlands%20Sports%20Complex%20aerial%201%202018.jpg,United States,https://en.wikipedia.org/wiki/Meadowlands_Sports_Complex,40.814166666,-74.073888888
Q242772,Toughsheet Community Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/Reebokstadium%20inside.jpg,United Kingdom,https://en.wikipedia.org/wiki/Toughsheet_Community_Stadium,53.580555555,-2.535555555
Q244592,San Mamés Stadium,stadiums,http://commons.wikimedia.org/wiki/Special:FilePath/San%20mames%20uefa.png,Spain,https://en.wikipedia.org/wiki/San_Mam%C3%A9s_Stadium_(1913),43.264205,-2.949369
