wikidata_id,name,category,coordinates,image_url,country,wikipedia_url,sitelinks
Q499108,Pico do Fogo,volcanoes,Point(-24.340369444 14.949269444),http://commons.wikimedia.org/wiki/Special:FilePath/Pico-94-117-13.jpg,Cape Verde,https://en.wikipedia.org/wiki/Pico_do_Fogo,45
Q235062,Galeras,volcanoes,Point(-77.366666666 1.216666666),http://commons.wikimedia.org/wiki/Special:FilePath/Volc%C3%A1n%20Galeras%20%28cropped%29.jpg,Colombia,https://en.wikipedia.org/wiki/Galeras,45
Q732838,Mount Elgon,volcanoes,Point(34.5265 1.1185),http://commons.wikimedia.org/wiki/Special:FilePath/Mount%20elgon%20topo.jpg,Uganda,https://en.wikipedia.org/wiki/Mount_Elgon,44
Q525281,Mount Saint Catherine,volcanoes,Point(-61.675277777 12.162222222),http://commons.wikimedia.org/wiki/Special:FilePath/Mount%20Saint%20Catherine%20Summit.jpg,Grenada,https://en.wikipedia.org/wiki/Mount_Saint_Catherine_(Grenada),44
Q914225,Inaccessible Island,volcanoes,Point(-12.674444444 -37.3025),http://commons.wikimedia.org/wiki/Special:FilePath/Inaccessible%20Island%20ASTER.jpg,United Kingdom,https://en.wikipedia.org/wiki/Inaccessible_Island,44
Q814113,Beerenberg,volcanoes,Point(-8.155880555 71.079666666),http://commons.wikimedia.org/wiki/Special:FilePath/Beerenberg%20Jan%20Mayen.JPG,Norway,https://en.wikipedia.org/wiki/Beerenberg,43
Q6583,Sahara,deserts,Point(12.612222222 23.079722222),http://commons.wikimedia.org/wiki/Special:FilePath/Sahara%20real%20color.jpg,Sudan,https://en.wikipedia.org/wiki/Sahara,221
Q36755,Sinai Peninsula,deserts,Point(34.0 29.5),http://commons.wikimedia.org/wiki/Special:FilePath/Mont%20sinai2.jpg,Egypt,https://en.wikipedia.org/wiki/Sinai_Peninsula,131
Q42070,Gobi Desert,deserts,Point(103.0 42.5),http://commons.wikimedia.org/wiki/Special:FilePath/Mongolia%20%2835427009881%29.jpg,Mongolia,https://en.wikipedia.org/wiki/Gobi_Desert,116
Q47141,Atacama Desert,deserts,Point(-69.25 -24.5),http://commons.wikimedia.org/wiki/Special:FilePath/Atacama.png,Chile,https://en.wikipedia.org/wiki/Atacama_Desert,104
Q47700,Kalahari Desert,deserts,Point(22.0 -23.0),http://commons.wikimedia.org/wiki/Special:FilePath/Kalahari.png,Namibia,https://en.wikipedia.org/wiki/Kalahari_Desert,103
